game,iterations,profile_value_player_0,best_response_value_player_0,best_response_value_player_1,nash_conv,exploitability
kuhn,100,-0.06711202126997902,0.15194974761562308,0.13204591023653045,0.2839956578521535,0.14199782892607676
kuhn,500,-0.04264792356216081,0.02316453289121749,0.0729486888052073,0.09611322169642479,0.048056610848212396
kuhn,1000,-0.06259756172785119,0.008730743222712889,0.08439194908023664,0.09312269230294953,0.04656134615147477
kuhn,5000,-0.05553666218515499,-0.05367733708446393,0.05635791250402211,0.0026805754195581843,0.0013402877097790922
kuhn,20000,-0.05555495446067485,-0.05416905434916944,0.05567253591362467,0.0015034815644552335,0.0007517407822276168
kuhn,100000,-0.0555548071860871,-0.05509661606476465,0.05573538080707613,0.0006387647423114762,0.0003193823711557381
leduc,100,-0.07704289578745999,0.16553478469004146,0.37921523080021774,0.5447500154902591,0.27237500774512957
leduc,500,-0.08234070709924451,0.022756943568035454,0.3530333388382659,0.3757902824063013,0.18789514120315065
leduc,1000,-0.077543427674509,-0.07333010504306994,0.08534054326108348,0.012010438218013536,0.006005219109006768
leduc,2500,-0.07766644877915313,-0.07522815868013183,0.08113103973326094,0.005902881053129111,0.0029514405265645555
leduc,5000,-0.07767614711074242,-0.07601904750505417,0.079682602897788,0.0036635553927338305,0.0018317776963669152
one-card,100,-4.272348583969954,-0.3356167616299511,5.6212481411130275,5.2856313794830765,2.6428156897415382
one-card,500,-4.127148845372344,-2.7285844430864787,5.674744161706879,2.9461597186204,1.4730798593102
one-card,1000,-4.126298372634248,-0.8142861115426848,4.503044655876277,3.688758544333592,1.844379272166796
one-card,5000,-3.969288618449158,-3.9497815579940267,3.985740173597967,0.0359586156039402,0.0179793078019701
one-card,10000,-3.9648398821524324,-3.9549938307641397,3.9754240270664134,0.020430196302273718,0.010215098151136859
one-card,20000,-3.9617802632355303,-3.9539225487221974,3.9685727745710886,0.014650225848891196,0.007325112924445598
